title,description
Nodejs Developer,"• Degree in Software Engineering, Information Technology or relevant.• Proficient in NodeJS programming• Have at least 3 years of experience.• Experience in Web API, Web Services REST• Have basic knowledge of Front-End, such as HTML5, CSS3.• Good understanding of server-side template creation languages.• Implement automated platform tests and unit tests.• Proficient in code versioning tools, such as Git.• Good logical and algorithmic thinking skills, analysis and problem solving• Teamwork, Friendly & Able to support team memberscomplete tasks in a timely manner. Careful and responsible in the project."
Customer Support Tiếng Nhật (T2-T6),"1 to 2-year experience in a similar position in startup companies or fast-moving environments.Proficient in using common computer/technology applicationsHave a flexible, resilient, and positive can-do attitude, have initiative, and be proactive in problem-solving beyond the call of dutyMeticulous, excellent organizational skills, customer-oriented with an ability to prioritize important projects and handle high pressureUnderstanding Japanese culture and excellent in written/verbal Japanese communication (N2 or N1 degree)Having intermediate level of using English in 4 skills (Read, Write, Speak and Listening)"
Quality Assurance,"Technical Skills:Education : university degree in Computer Science, Electronics or comparable studiesMinimum Experience : 3 yrs work experience in relevant field (preferred in Automotive and Quality)Basic knowledge about ASPICE preferredGood Knowledge in Software development and Testing; basic knowledge in Quality AssuranceAutomotive System Domain know-how will be added advantageLanguages to read, speak and write: good skills in English, basic skills in Japanese preferred (not mandatory)Interpersonal Skills:Detail orientation thinking skillsAn empathic personality with passion for QualityMotivated to succeed as a team, not only as an individual contributorAbility to focus as well as multi-taskAssertive and objective communication"
Nhân Viên IT,"Cao đẳng, Đại học – Chuyên ngành công nghệ thông tin, ưu tiên có chứng chỉ CCNACó ít nhất 02 năm kinh nghiệm làm việc trong lĩnh vực ITCó kiến thức về phần cứng máy tính, hạ tầng mạng, các phần mềm tin học văn phòngNắm vững và am hiểu môi trường kinh doanh của doanh nghiệp.Kỹ năng giải quyết vấn đề và ra quyết định;Khả năng làm việc độc lập, chịu áp lực công việc cao.Nhiệt tình, hòa đồng, trung thực, thật thà.Tính kỷ luật, chủ động"
Nhân Viên Tester (Mobile),"≥ 1 năm kinh nghiệm ở vị trí Tester Mobile;Đọc viết Tiếng Anh cơ bản;Có kiến thức cơ bản về quy trình phát triển phần mềm và kiểm thử phần mềm;Hiểu biết về các loại kiểm thử: functional testing, usability testing, performance testingCó khả năng sử dụng các công cụ quản lý lỗi như Jira, BugzillaKỹ năng phân tích và giải quyết vấn đề tốt;Chú ý đến chi tiết và có khả năng làm việc độc lập cũng như trong nhóm;Có kiến thức cơ bản về hệ điều hành iOS và Android;Có kiến thức về Automation Tester là một lợi thế."
Production Support,"Bachelor’s Degree or equivalent in Computer Science or related field.At least 2++ years of experience.Excellent analytical and problem-solving abilities.Basic understanding of business analysis concepts and methodologies.Detail-oriented with a focus on accuracy and quality.Ability to work collaboratively in a team and communicate effectively with stakeholders.Proven analytical, troubleshooting and problem- solving skills.Proven ability to multi-task, effectively determine priorities and meet SLA’s.Excellent communication relationship-building and internal customer service skills.Adaptable and flexible in a fast-changing industry and work environment.Fluent in English, both written and spoken"
Manual Tester (Junior Level),"Good at English.1 -2 years hands-on experience as a manual QC. Solid knowledge of functional, integration and regression testing. Knowledge of API, performance and security testing is a plus.Dynamic, proactive and high team spirit in a dynamic environment with international colleagues and in a continuous integration/delivery process.Willing to learn, ready to ask team members and clients proactively about issues or problems.Have in-depth understanding of the project and life cycle of testing, phase testing objectives, acceptance criteria and risk-based approaches to testing.Ability to manage and prioritize multiple, diverse features simultaneously.Carefulness, Strong logical thinking, and analytical skills.Good at Time management."
Project Manager (PM) - Fintech,"Tốt nghiệp Đại học chính quy chuyên ngành về CNTT hoặc tương đươngCó tối thiểu 2 năm kinh nghiệm trong vai trò Quản trị dự ánCó hiểu biết và có kinh nghiệm quản lý các dự án FintechHiểu biết về các phương pháp quản lý dự án hiện đại như PMI, AgileCó các chứng chỉ quản lý dự án như PMP, PMI là một lợi thếCó khả năng dẫn dắt team dự án thực hiện dự án theo yêu cầu đề ra của cấp trênCó tinh thần trách nhiệm cao, trung thực, cẩn thận, khả năng bao quát và kỹ năng xử lý tình huống tốtƯu tiên:Ứng viên từng làm dev, có base về: Java/ReactJS/VueJS/Angular/Android/iOS/Flutter"
Mobile React Native Developer,"More than 2 years of experience.Experience with Redux, Redux Saga, React Hook,...Ability to support and allocate work to other team members.Have a spirit of learning and self-improvement.Ability to work in a team or independently.Be responsible with your work."
Nhân Viên Thiết Kế Đồ Họa 2D (2D Game Artist ),"Có khả năng bao quát tổng thể (kết hợp giữa hình ảnh và ý tưởng) để có thể đưa ra các concept nhanh, phù hợp với yêu cầu của dự ánSử dụng thành thạo các phần mềm về đồ họa: Adobe Photoshop, Adobe Illustrator (biết sử dụng Figma,.. là 1 lợi thế)Có khả năng thể hiện ý tưởng tốt.Chủ động, có tinh thần trách nhiệm cao trong công việcCó đam mê, nhiệt huyết, sáng tạo và các ý tưởng mang tính đột pháCó kiến thức về thị trường Game online."
Chuyên Viên Kỹ Thuật - Mảng Bảo Mật (Security),"Có kiến thức chuyên môn và hiểu biết sâu sắc về các giải pháp Network Security: NGFW (Palo Alto, Fortinet, Check Point, ...)Có kiến thức và kinh nghiệm triển khai một trong các các giải pháp sau: giải pháp bảo mật như Bitdefender, Trend Micro, McAfee Endpoint Security, Microsoft Defender Advanced Threat Protection, Symantec Endpoint ProtectionCó kiến thức và kinh nghiệm triển khai về giải pháp PAM(quản lý đặc quyền truy cập), WAF (bảo vệ ứng dụng web)Có kiến thức và kinh nghiệm sử dụng hệ điều hành Linux (CentOS, Ubuntu, Debian, ...)."
Lập Trình Viên Java,"Nền tảng tốt về lập trình hướng đối tượng.Có 3 năm kinh nghiệm với JavaWeb.Framework Spring boot, database PostgreSQL."
Lập Trình Viên .Net,"Tốt nghiệp Cao đẳng, Đại học, ưu tiên các chuyên ngành CNTT, Toán tin, các ngành khác có liên quan hoặc ứng viên có kinh nghiệm liên quan.Nắm được nguyên lý OOP trong phát triển phần mềm.Thành thạo SQL.Thành thạo ngôn ngữ lập trình C, ASP.NET, MVC, Net CoreCó kinh nghiệm về MSSQL Server (2008+) và hiểu biết MySQL, PostgreSQL, HyperSQL,... và một số CSDL No-SQL: Redis, ElasticSearch, MongoDB.Kinh nghiệm sử dụng cache như IIS Cached, MemCached, Redis cached  và NodeJS, SignalR là 1 lợi thế.Có kinh nghiệm Javascript, HTML (HTML5), CSS (CSS3), jQuery, AngularJS.Có kinh nghiệm làm việc với Windows Services, WebServices.Ưu tiên người có tư duy phân tích nghiệp vụ, lập kế hoạch phát triển từ yêu cầu, thiết kế UI/UX."
Full-Stack PHP Developer,"Degree qualifications in Information Technology or Computer Science.3 years of experience in Web Development.Knowledge with PHP Framework in MVC (CodeIgniter 2 or 3 is a plus)Knowledge of basics, HTML 5, CSS, JavaScript, AJAXKnowledge of database (MySQL, NoSQL knowledge is a plus)Knowledge of web service and REST APIKnowledge of Bootstrap (Angular, ReactJS is a plus)Proficient in use of GIT code versioning.Proficient in oral English is highly appreciated."
Manual Test,"Tốt nghiệp hệ chính quy các Trường Đại học, chuyên ngành đào tạo: Công nghệ thông tin, Toán tin, Điện tử Viễn thông, Kế Toán, Tài chính Ngân hàngỨng viên có chứng chỉ ISTQBỨng viên có chứng chỉ SQL (Ưu tiên)Có kinh nghiệm tại NH hoặc các tổ chức, tập đoàn CNTT hoặc tốt nghiệp loại giỏiCó kinh nghiệm làm việc tại các ngân hàng; hiểu biết về sản phẩm dịch vụ ngân hàng, chứng khoán, tài chínhCó hiểu biết về các hệ thống Bigdata, Data Lake, Data warehouseCó kinh nghiệm làm việc với các hệ thống cơ sở dữ liệu Oracle, NetezzaCó kinh nghiệm với các công cụ kiểm thử tự độnCó kinh nghiệm kiểm thử tải lớnCó kinh nghiệm Test về dữ liệu và kiến thức , Excel thành thạo, Test tích hợp các phương thức API, Kafka, ETL...Có kinh nghiệm làm việc với các hệ thống cơ sở dữ liệu Oracle, NetezzCó kinh nghiệm Test và tham gia các dự án về dữ liệu và báo cáo, DWH...Ưu tiên Nhân sự đã có kinh nghiệm tham gia triển khai các dự án theo mô hình Agile/Scrum"
Lập Trình Viên Java Fullstack (DA Bank),"Tốt nghiệp kỹ sư Công nghệ thông tin, toán tin hoặc các ngành tương đương hoặc có các chứng chỉ tương đương được công nhận bởi các tổ chức uy tínKinh nghiệm về ngôn ngữ lập trình thông dụng như Java, PythonKinh nghiệm về framework và thư viện: Spring boot, Hibernate, Flask, Django, FastAPIKinh nghiệm về DB Oracle, MySql, MongoDB, SQLiteKinh nghiệm về Git và Git FlowKinh nghiệm về web services: SOAP; RestfulAPI ... hoặc giao thức Client - Server: Socket TCP/IP; Web SocketKinh nghiệm về Queue hoặc Cache như Kafka; RabbitMQ; ActiveMQ; Redis; MemcachedKinh nghiệm về Unit test; Sonarqube; Mockito, Selenium, PytestƯu tiên:Kinh nghiệm về DevOps: Docker, Kubernetes, Jenkins, Prometheus, Thanos, Grafana (Canary deploy)Kinh nghiệm làm trực tiếp hoặc tích về hệ thống lưu trữ, luân chuyển, truy vấn file (VD: Documentum, Filenet, Alfresco)Kinh nghiệm về thiết kế kiến trúc ứng dụng: MVC, Microservices; Micro frontendKinh nghiệm về tối ưu source code, tối ưu hệ thống, tối ưu tài nguyên, tối ưu thuật toánKinh nghiệm về xây dựng khung hệ thống, nền tảng core, thư viện cho hệ thống."
Nhân Viên IT Chuyên Bảo Trì & Lắp Đặt Camera,"- Độ tuổi từ 22 đến 35 tuổi- Ứng viên tốt nghiệp Trung cấp trở lên các ngành: Khoa học máy tính, Công nghệ thông tin, Hệ thống thông tin, Kỹ thuật mạng, Điện tử viễn thông......- Có kinh nghiệm lắp đặt, sửa chữa là một lợi thế. Hoặc nếu chưa có kinh nghiệm sẽ được hướng dẫn- Có thể đi công tác tại các trang trại chăn nuôi của công ty để thực hiện công việc lắp đặt của mình"
Chuyên Viên Phân Tích Nghiệp Vụ (BA),"Có 3 năm kinh nghiệm làm việc ở vị trí tương đương;Khả năng suy luận, tư duy logic tốt về phân tích hệ thống, quy trình nghiệp vụ và đặc tả yêu cầu;Kỹ năng giao tiếp tốt, kỹ năng tư vấn và thuyết phục;Công cụ hỗ trợ: Figma, balsamiq hoặc các công cụ tương đương;Tài liệu: BRD, URD, FRS, SRS, UseCase (UC Document).v.v.Nhanh nhẹn, có tinh thần học hỏi cao, cởi mở, chủ động làm việc nhóm và tinh thần tích cực trong làm việc nhóm và các hoạt động chung.Có Laptop cá nhân làm việc"
Unity Game Developer Puzzle & Casual Mobile Game,"Experience in developing games or mobile games using Unity Engine;Proficient in C# and Unity Engine;Understanding Algorithms And Design pattern;Experience in Optimization;Ability to read and understand English, prefer IELTS 6.0 or equivalent;Have a good mindset, take initiative in work, have a high sense of responsibility.Strong love and passion for programming, especially game programming;Having at least 01 demo of mobile game products;Being diligent, progressive, and responsible for work."
Giảng Viên Dạy SQL - Dạy Ngoài Giờ Hành Chính,"TNĐH các chuyên ngành liên quan, ưu tiên ứng viên tốt nghiệp Thạc sĩCó từ 3-5 năm trở lên kinh nghiệm tại vị trí DBA/ Data Engineer/ Data Analyst, ưu tiên ứng viên làm việc tại các công ty, tập đoàn lớnSử dụng thành thạo các câu lệnh nâng cao (phép kết nối, function, thủ tục, trigger...)Các kỹ năng về quản lý hệ thống cơ sở dữ liệu lưu trữCó khả năng truyền đạt kiến thức, ưu tiên ứng viên có kinh nghiệm giảng dạy"
UA Marketing (Game),"Tối thiểu 1 năm kinh nghiệm làm việc với các kênh quảng cáo như: Google, Facebook, TikTok… mảng Game. Chơi games và hiểu người chơi midcore;Trình độ IELTS 6.0 hoặc tương đương;Thành thạo Microsoft Word và Excel;Có khả năng quản lý và xử lý nhiều chiến dịch cùng một lúc;Siêng năng, cầu tiến, có trách nhiệm với công việc;Có niềm đam mê đặc biệt với Game là một lợi thế;Đính kèm Portfolio/Link sản phẩm đã đẩy khi ứng tuyển;"
Kỹ Thuật Viên IT ( CP66),"Cơ bản: Tuổi: 18 – 30 ; Giới tính: NamTrình độ chuyên môn: Tốt nghiệp Trung Cấp trở lên chuyên ngành CNTT, Điện - Điện tử, Điện tử - Viễn ThôngKinh nghiệm: 1 năm trở lên. Ưu tiên có kinh nghiệm lắp ráp phần cứng PC,laptop, thiết bị văn phòng... Thành thạo Office và các công cụ chuyên môn cài đặt kỹ thuật phần mềmKỹ năng: Lắp đặt phần cứng, cài đặt phần mềm, xử lý lỗi kỹ thuật, giải quyết vấn đề, khảo sát, thi côngKiến thức: Phần cứng PC-Laptop, Camera, Thiết bị văn phòng, hệ thống mạng, phần mềm.Tính cách: Trung thực, chủ động, nhiệt tình, chịu áp lực, kiên trì"
Hardware Engineer,"Tốt nghiệp đại học chuyên ngành Điện tử, Viễn thông, Cơ điện tử hoặc các chuyên ngành liên quan.Tối thiểu 5-6 năm kinh nghiệm thiết kế Sơ đồ & PCB.Có hiểu biết tốt về các Tiêu chuẩn khác nhau như CE, FCC, RoHS và MIL-461 từ điểm EMI-EMC và có thể thúc đẩy các sản phẩm đạt tiêu chuẩn và dẫn đầu việc xác nhận sản phẩm tương tự.Có hiểu biết tốt về cách quản lý vòng đời của sản phẩm và các vấn đề liên quan đến lão hóa cũng như cách xử lý ngay từ đầu.Nền tảng cơ bản vững chắc trong Thiết kế Điện tử công suất,Điện tử Kỹ thuật số, vi điều khiển(ESP, STM, Renasas, MSP..).Có kinh nghiệm thực tế thiết kế BLE, WIFI, Switching (flyback, buck, boost..), Bộ điều khiển công suất trong dân dụng,.Kinh nghiệm lâu năm sử dụng một trong các công cụ thiết kế PCB: Altium, Orcad, Allegro, PAD,..Thành thạo một trong các phần mềm thiết kế chuyên dụng như Solidwork, SketchUp, Autocad,...Năng động, kỷ luật tốt, giải quyết vấn đề tốt bằng tư duy phân tích và logic. Đam mê kỹ thuật, thái độ tốt, khả năng học hỏi công nghệ và quy trình mới."
Business Analyst,"Tốt nghiệp Cao Đẳng, Đại Học các chuyên ngành liên quanNam, có kinh nghiệm 1 - 2 năm ở vị trí tương đương.Background Technical và am hiểu về cáo thiết kế hệ thống dữ liệu lớn.Có kinh nghiệm thực hiện các dự án end to end, am hiểu sâu về các giai đoạn của 1 dự án.Có kinh nghiệm xây dựng tài liệu yêu cầu nghiệp vụ (BRD,URD,...), triển khai yêu cầu đến tham phát triển.Có kinh nghiệm với các ngôn ngữ mô hình hoá UML hoặc BPMN.Có kinh nghiệm với Agile/Waterfall là điểm cộng.Đang làm việc trong ngành TMĐT hoặc các lĩnh vực liên quan. Hiểu rõ cách thức phát triển và vận hành một website cỡ vừa đến lớn.Quen thuộc với các công cụ lên layout / wireframe / mockup (Axure, Adobe, Snagit...)Quen thuộc với các hệ thống vận hành TMĐT như CMS, OMS...Quen thuộc sử dụng công cụ database như SQL, MySQL, các câu lệnh phục vụ cho công việc (truy xuất, import, insert, update...)Thành thạo Word, Excel, PW Point và các công cụ phân tích dữ liệu.Có tư duy logic cao, nhiệt tình, năng động, sáng tạo"
DevOps Developer/ Lập Trình Viên DevOps (Python),"Ít nhất 1 năm kinh nghiệm trong các Khái niệm, Công cụ và Quy trình của DevOps.Có ít nhất 1 ngôn ngữ lập trình để triển khai tự động hóa như Python, PHP, bash hoặc powershell.Thành thạo làm việc với cơ sở hạ tầng dựa trên Linux, Ubuntu.Kiến thức chuyên môn về các khái niệm triển khai container như Kubernetes và các công cụ liên quan (ví dụ: Helm, Istio).Thành thạo trong cơ sở dữ liệu, các giải pháp trao đổi thông điệp và bộ nhớ cache như SQL Server, RabbitMQ, Redis hoặc Kafka.Kiến thức nâng cao về các khái niệm và nguyên tắc hệ thống và mạng.Kinh nghiệm với các nền tảng đám mây như Azure hoặc AWS.Kinh nghiệm trong việc triển khai và vận hành kiến trúc microservices.Kinh nghiệm với các dịch vụ web và API (REST, GraphQL).Sự quen thuộc và kinh nghiệm với các công cụ và khung làm việc DevOps hiện đại như GitLab CI/CD, Jenkins, Ansible, Terraform, và các công cụ giám sát như Prometheus và Grafana"
Junior System Admin/Nhân Viên Quản Trị Hệ Thống,"Tốt nghiệp đại học chính quy chuyên ngành CNTT, Điện tử Viễn thôngCó ít nhất 01 năm kinh nghiệm chuyên môn làm việc với hệ thống server ảo hóa (VMware, Proxmox..)Ít nhất 01 năm kinh nghiệm làm việc với hệ thống Linux (Ubuntu, CentOS).Có khả năng tự nghiên cứu, phân tích và giải quyết vấn đềCó khả năng phối hợp nhóm tốtCó khả năng sáng tạo, đề xuất giải pháp cải tiến hệ thống.Có kỹ năng viết và tổ chức tài liệu.Có kỹ năng quản lý, giao việc."
Nhân Viên SEO Website,"Tốt nghiệp đại học, cao đẳng các chuyên ngành về Marketing, Digital Marketing, It,...Có kiến thức chuyên sâu về SEO và các công cụ tìm kiếm. Từ 1 năm kinh nghiệm tại vị trí tương đương.Hiểu biết về Digital Marketing và xu hướng marketing online.Có kỹ năng phân tích dữ liệu và sử dụng các công cụ phân tích như Google Analytics, Google Search Console,...Có kiến thức cơ bản về HTML/CSS và quản trị websiteCó tư duy phân tích, sáng tạo và khả năng giải quyết vấn đề. Tinh thần trách nhiệm cao trong công việc.Chủ động học hỏi, cập nhật kiến thức mới về SEO và digital marketing.Kỹ năng làm việc nhóm tốt, có khả năng giao tiếp hiệu quả với các bộ phận khác"
Senior Java - English Fluent,"7+ years software development experience (5+ years Java)Proven track record in solution architectureStrong Java backend development skillsCloud technologies and microservices architecture expertiseExperience as technical lead/solution architect5.Excellent problem-solving and communication skillsStrong experience with frontend development, including JavaScript and ReactExperience leading and designing at least 2-3 complex SaaS productsKnowledge of SDLC (Software Development Life Cycle)Knowledge of SSDLC (Secure Software Development Life Cycle) and OWASP (Open Web Application Security Project) principlesProficiency in Agile product development methodologiesAbility to oversee and guide both backend and frontend development teamsGood English communication skills"
Kỹ Sư Cầu Nối (BrSE) N2,"Tốt nghiệp Đại học/Cao đẳng chuyên ngành CNTT hoặc các chuyên ngành liên quan.Tiếng Nhật sử dụng thành thạo (trình độ tương đương N2 trở lên), có nền tảng kiến thức Công nghệ thông tin tốt.Có từ 2 năm kinh nghiệm ở vị trí Kỹ sư cầu nối (BrSE).Có khả năng tư duy logic tốt.Chủ động, nhiệt tình và có tinh thần trách nhiệm cao với công việc."
Web Developer,"Từ 5 năm kinh nghiệm trong lĩnh vực phát triển web.Có kinh nghiệm làm việc với các hệ quản trị cơ sở dữ liệu quan hệ như MySQL, MariaDB, MSSQL, Oracle DB, v.v.Có kinh nghiệm với Java Server, bao gồm Spring, Spring Boot, Tomcat, v.v.Ưu tiên: Ưu tiên ứng viên có kinh nghiệm về WordpressCó kinh nghiệm với NodeJS và các thư viện/frameworks như React và Vue.Có kinh nghiệm làm việc với các hệ điều hành như Linux và Window ServerCó kinh nghiệm với .Net, Python, hoặc ASP là một lợi thế. Ưu tiên ứng viên biết tiếng Hàn"
Tiktok Content Creator,"●  Kinh nghiệm: Có từ 1 năm kinh nghiệm trở lên trong việc xây dựng kênh TikTok. Ưutiên các ứng viên từng làm trong ngành công nghệ hoặc ô tô.● Kỹ năng chỉnh sửa video: Thành thạo các công cụ chỉnh sửa video như AdobePremiere, Final Cut Pro hoặc các ứng dụng chỉnh sửa video trên điện thoại.● Yêu cầu khác: Ứng viên có ngoại hình sáng, Giao tiếp lưu loát, không nói ngọng haytiếng địa phương, Tự tin trước máy quay● Có kênh TikTok trên 10,000 followers là 1 lợi thế"
Nhân Viên Bảo Mật Mạng Và Hệ Thống,"Cẩn thận, trách nhiệm đến cùng với công việc được giaoSẵn sàng làm ngoài giờ nếu được yêu cầu hoặc có sự cố cần xử lýCó khả năng làm việc hiệu quả với nhịp độ công việc cao"
Business Intelligence (Data Analyst),"Graduate certificate in data analysis with a strong understanding of BI tools (e.g Looker ,Tableau, Power BI,...).Proficient in SQL and data warehousing, data module concepts.Ability to communicate complex technical information to non-technical stakeholders.Knowledge of programming languages such as Python, Deluge, JavaScript is a plus"
Nhân Viên Tester,"Có ít nhất 02 năm kinh nghiệm kiểm thử phần mềm trên nền WebCó khả năng nghiên cứu và sử dụng các công cụ hỗ trợ kiểm tra sản phẩm phần mềmCó hiểu biết về nghiệp vụ QA/QC là một lợi thế.Có hiểu biết về kiểm thử phần mềm như các giai đoạn kiểm thử (Unit test, Integration test, Functional test, System test, Acceptance test,...) và các kỹ thuật kiểm thửTrình độ Đại học chuyên ngành CNTT hoặc tương đương.Có kinh nghiệm kiểm thử và phân tích nghiệp vụ trên hệ thống lớn.Có kinh nghiệm làm theo phương thức Scrum.Có khả năng học hỏi, làm việc độc lập hoặc phối hợp và làm việc nhóm tốt. Sẵn sàng làm thêm giờ hoặc đi công tác khi có yêu cầu.Ưu tiên ứng viên có kinh nghiệm làm việc theo quy trình CMMI."
Java Developer,"Tốt nghiệp đại học hoặc cao đẳng chuyên ngành công nghệ thông tin.Tối thiểu 2 năm kinh nghiệm Java có kiến thức chuyên sâu lập trình ứng dụng Java Core và JavaEE, thành thạo: Java/JavaEE, JDBC, Hibernate, Web service (SOAP, REST)Có kiến thức cơ bản về lập trình hướng đối tượng, cấu trúc dữ liệu và giải thuật.Có kinh nghiệm làm việc Spring framework: Spring Boot, Spring MVC, Spring Core, Spring Security, ...Có khả năng đọc hiểu tài liệu tiếng Anh.Có tinh thần trách nhiệm trong công việc và làm việc tốt dưới áp lực caoƯu tiên ứng viên có hiểu biết về Linux, từng tham gia phát triển các dự án theo kiến trúc microservice, có kinh nghiệm làm việc với các hệ quản trị cơ sở dữ liệu MySQL, PostgreSQL, MongoDB, Elasticsearch ..., có hiểu biết về các công nghệ như WSO2, VIM, ..."
Trưởng Nhóm Hạ Tầng Và Hỗ Trợ CNTT,"- Ưu tiên tốt nghiệp Cao Đẳng, Đại học chuyên ngành Công Nghệ Thông Tin- Kinh nghiệm làm việc: tối thiểu 1 năm ở vị trí trưởng nhóm+Kỹ năng làm việc độc lập, phối hợp làm việc nhóm+Kiến thức nền tảng điện toán đám mây (AWS, Azure), nền tảng ảo hóa (Hyper-V, VM Ware)+Kiến thức Linux/Unix+Kiến thức quản trị hệ thống (Windows Server, Linux, Gsuite, Office 365), GIT+Kỹ năng đọc hiểu và tìm kiếm tài liệu bằng tiếng Anh cơ bản+Kiến thức về cách dịch vụ ha tầng (DNS, TCP / IP, SSL, DHCP, Load Balancing)+Kiến thức về bảo mật hệ thống (ưu tiên nếu có)+Kiến thức về hệ quản trị cơ sở dữ liệu+Đam mê nghiên cứu công nghệ, chủ động trong công việc+Kiến thức nền tảng bảo mật (Hyper-V, VM Ware),kiểm thử bảo mật"
Lập Trình FrontEnd (Angular),"Có ít nhất 1 năm kinh nghiệm làm FrontEnd web;Có kinh nghiệm với Angular;Hiểu biết tốt về HTML, CSS và JavaScript;Sẵn sàng học hỏi các công nghệ mới và di chuyển giữa các nhóm công nghệ khác nhau."
NLP Engineer (Middle/Senior),"– Có từ 2 năm kinh nghiệm làm việc trong lĩnh vực học máy, xử lý ngôn ngữ tự nhiên như Text Classification, Named Entity Recognition, Word Segmentation, POS tagging, Question Answering, Sentiment analysis, Information retrieval, Information Extraction.– Sử dụng thành thạo ngôn ngữ Python, Machine Learning, Deep Learning frameworks như Sklearn, Pytorch, Tensorflow, NLTK, Huggingface,...– Hiểu rõ kiến trúc, thành thạo trong việc triển khai các mô hình NLP như Transformer, BERT, LLM, ...– Có kiến thức rộng và chuyên sâu về các thuật toán, mô hình NLP, khả năng đọc hiểu và ứng dụng các bài báo khoa học bằng tiếng anh.– Có kinh nghiệm làm việc với các hệ thống big data, có kỹ năng lập trình backend là một lợi thế.– Có kinh nghiệm tối ưu hiệu năng mô hình, thời gian phản hồi.– Đã từng tham gia xây dựng, triển khai các bài toán liên quan đến LLM là một lợi thế."
Data Engineer (Junior/Middle/Senior),"– Có khả năng lập trình chuyên sâu java/python/scala;– Có kinh nghiệm làm việc về các hệ thống big data, Data-warehouse, BI, sử dụng các mã nguồn mở như Hadoop ecosystem, spark, hive, kudu, kafka, hbase, cassandra;– Lập trình thông thạo spark, spark-streaming;– Có kiến thức và kinh nghiệm xây dựng hệ thống chuyên sâu về dữ liệu với kiến trúcLambda/Kappa/Data Lake;– Có kinh nghiệm xây dựng các hệ thống customer 360 đảm bảo hiệu năng và tính sẵn sàng cao;– Tư duy tốt, có khả năng nghiên cứu, đánh giá và cập nhật công nghệ mới."
IT Sales Tiếng Nhật (Ko Yêu Cầu Kinh Nghiệm IT),"Must have: 3 years of B2B sales experienceExperience in IT software is a big advantageProficient in 4 Japanese skills (equivalent to N2 or higher)Interested in the IT fieldAbility to adapt quickly to the pace of work, enjoy new challengesAbility to work independently and in a teamAll levels: junior - SeniorHaving studied abroad or lived in Japan is an advantage"
Manual Tester,"Demonstrated experience developing and executing test cases, scripts, plans and procedures to support various development methodologies. Experience working on multiple platforms like Windows, macOS, Android, and iOS is a significant advantage Familiarity with entire software development life cycle and test cycles according to different project management approaches, especially waterfall and agile model. Prior success using a metrics-driven approach and closedloop feedback to improve software deliverables and improve the predictability and reliability of releases. Detailed and effective written communication skills for documenting the features tested and bugs found. Non-technical: Ability to communicate in English with customers Willingness and ability to thrive in a fast-paced and agile development environment Good problem-solving skills Be able to work under deadline pressure Proactive in work Good written and verbal communication skills with demonstrated ability to work in a team environment"
Golang Backend Engineer,"Bachelor’s Degree in Computer Science, Engineering, or related field. 3+ years working in Backend Development. Strong experience in programming language: Golang. You have strong experience in Architecture/System Design. Good understanding of SOLID principles, Design Patterns. Knowledge of AWS, CI/CD, Kubernetes/Docker. Good English communication skills, at least at reading and writing. Good problem-solving skills to troubleshoot and resolve complex technical issues."
QA Automation Engineer,"Bachelor's Degree in Computer Science, Engineering, or related field. 3+ years experience in software testing across a wide variety of applications and infrastructure components, QA processes, test management, and automated testing tools Good at programming language such as Typescript (preferred), Java, or Python Good at scripting test case and building up core module for automation frameworks such as Playwright (preferred) or Selenium. Has experiences with API testing or Performance testing. Clean code and well-defined documentation. Good English communication skills, at least at reading and writing."
Manual Tester,"- Có từ 2 năm kinh nghiệm test web/test app trên mobile, web, API - Kiến thức tổng quan về test: định nghĩa cơ bản, các thuật ngữ, quy trình phát triển phần mềm, quy trình test - Có khả năng phân tích yêu cầu, tổng hợp thành tài liệu riêng, Q&A cho khách hàng - Có khả năng tự communicate – thương lượng với khách hàng - Có khả năng đọc hiểu và tạo các tài liệu test bằng tiếng Anh: test design, test viewpoint, checklist, test cases - Cẩn thận, tỉ mỉ, học hỏi nhanh và có nhiều ý tưởng sáng tạo"
PHP Developer (Junior/Middle),"– Có từ 1 năm kinh nghiệm làm các dự án PHP, sử dụng thành thạo một trong các framework PHP (Laravel, WordPress, CakePHP, Zend, CodeIgniter).– Hiểu biết sâu về ngôn ngữ PHP hoặc JS, OOP.– Đã từng làm việc/hiểu biết về API RestFul.– Có kinh nghiệm làm việc với một trong các hệ quản trị CSDL như MySQL, Maria DB, MongoDB.– Cẩn thận, kiên nhẫn, đam mê lập trình và sẵn sàng học hỏi các công nghệ mới.– Chịu được áp lực công việc.– Có kỹ năng phân tích và giải quyết vấn đề.– Có khả năng làm việc độc lập và theo nhóm."
